motif_id	motif_name	tf_class	region_type	n_hits	n_genes	mean_score	mean_dist
MA1136.1	FOSB::JUNB	Fos-related	gene_body	14444	14444		27422.7497230684
MA1420.1	IRF5	Interferon-regulatory factors	gene_body	16942	16942		24765.3238106481
MA1421.1	TCF7L1	TCF-7-related factors	gene_body	19765	19765		22204.6072350114
MA1440.1	fkh-9	FOX	gene_body	20758	20758		21368.8037383178
MA1442.1	mab-5	HOX	gene_body	17225	17225		24318.296371553
MA1445.1	ceh-28	NK	gene_body	6867	6867		39250.3452745012
MA1448.1	fos-1	Fos-related	gene_body	18037	18037		23756.3223928591
MA1451.1	nhr-6	NGFI-B-related receptors (NR4)	gene_body	19417	19417		22536.8119688932
MA1468.1	ATOH7	Tal-related	gene_body	16200	16200		25487.3512345679
MA1485.1	FERD3L	Tal-related	gene_body	17084	17084		24619.7303324748
MA1489.1	FOXN3	FOX	gene_body	17857	17857		23839.5257882063
MA1493.1	HES6	Hairy-related factors	gene_body	15964	15964		25803.6481458281
MA1509.1	IRF6	Interferon-regulatory factors	gene_body	11348	11348		30988.3332745858
MA1538.1	NR2F1	RXR-related receptors (NR2)	gene_body	16994	16994		24823.2086030364
MA1539.1	NR2F6	RXR-related receptors (NR2)	gene_body	16182	16182		25632.0339265851
MA1555.1	RXRB	RXR-related receptors (NR2)	gene_body	12644	12644		29313.5685700728
MA1556.1	RXRG	RXR-related receptors (NR2)	gene_body	14978	14978		26761.9996661771
MA1557.1	SMAD5	SMAD factors	gene_body	14476	14476		27434.6383669522
MA1570.1	TFAP4	bHLH-ZIP	gene_body	15108	15108		26481.1740137675
MA1571.1	TGIF2LX	TALE-type homeo domain factors	gene_body	15092	15092		26505.6055526107
MA1572.1	TGIF2LY	TALE-type homeo domain factors	gene_body	14947	14947		26692.4606275507
MA1580.1	ZBTB32	Other factors with up to three adjacent zinc fingers	gene_body	17918	17918		23819.7338430628
MA1587.1	ZNF135	More than 3 adjacent zinc fingers	gene_body	17890	17890		23982.9218557854
MA1588.1	ZNF136	More than 3 adjacent zinc fingers	gene_body	16776	16776		24814.5180019075
MA1594.1	ZNF382	Factors with multiple dispersed zinc fingers	gene_body	18767	18767		23127.4826024405
MA1596.1	ZNF460	More than 3 adjacent zinc fingers	gene_body	18205	18205		23691.5100796485
MA1597.1	ZNF528	More than 3 adjacent zinc fingers	gene_body	18171	18171		23652.2268449728
MA0158.2	HOXA5	HOX	gene_body	7590	7590		35641.8230566535
MA0912.2	HOXD3	HOX	gene_body	11025	11025		30997.0399092971
MA0623.2	NEUROG1	Tal-related	gene_body	14539	14539		27137.7158676663
MA2093.1	HOXB1	HOX	gene_body	18893	18893		22946.1468268671
MA2094.1	PAX8	Paired domain only	gene_body	15877	15877		25881.9886628456
MA2095.1	Sox7	SOX-related factors	gene_body	19826	19826		22157.2600625441
MA2096.1	ZNF524	More than 3 adjacent zinc fingers	gene_body	16725	16725		25099.2897458894
MA1715.1	ZNF707	More than 3 adjacent zinc fingers	gene_body	17233	17233		24578.4957349272
MA2097.1	ZNF75A	More than 3 adjacent zinc fingers	gene_body	18142	18142		23718.9711167457
MA2098.1	ZNF766	More than 3 adjacent zinc fingers	gene_body	18503	18503		23284.6084959196
MA2099.1	ZNF770	Factors with multiple dispersed zinc fingers	gene_body	16860	16860		24976.3578291815
MA1718.1	ZNF8	Factors with multiple dispersed zinc fingers	gene_body	17880	17880		23762.0953020134
MA2100.1	ZSCAN16	More than 3 adjacent zinc fingers	gene_body	16768	16768		24939.5552242366
MA2101.1	ZNF677	More than 3 adjacent zinc fingers	gene_body	19952	19952		22070.4127405774
MA1684.1	Foxn1	FOX	gene_body	20597	20597		21452.8865368743
MA1700.1	Clamp	Factors with multiple dispersed zinc fingers	gene_body	19537	19537		22449.5709167221
MA2102.1	ZBTB17	Factors with multiple dispersed zinc fingers	gene_body	5278	5278		41201.1786661614
MA2107.1	cg	More than 3 adjacent zinc fingers	gene_body	20740	20740		21424.4954676953
MA2108.1	sqz	More than 3 adjacent zinc fingers	gene_body	23544	23544		19087.7844886171
MA1876.1	Gsx	HOX	gene_body	20096	20096		21878.5391620223
MA1890.1	Klf15	Three-zinc finger Kruppel-related	gene_body	20349	20349		21730.0060936655
MA1893.1	Klf6-7-like	Three-zinc finger Kruppel-related	gene_body	19490	19490		22474.4498204207
MA2109.1	Arid3	ARID-related	gene_body	22860	22860		19638.8684164479
MA2110.1	Cdx	HOX	gene_body	16123	16123		25337.2153445389
MA2111.1	HNF4	RXR-related receptors (NR2)	gene_body	17385	17385		24369.918377912
MA2112.1	Meis	TALE-type homeo domain factors	gene_body	22673	22673		19781.4749702289
MA2113.1	Pax2-5-8-a	Paired domain only	gene_body	9650	9650		33904.3
MA2114.1	Pax3-7-like	Paired plus homeo domain	gene_body	22883	22883		19612.793645938
MA2115.1	Pax6	Paired plus homeo domain	gene_body	22860	22860		19638.8684164479
MA2116.1	Pou4	POU domain factors	gene_body	23285	23285		19293.0785484217
MA1931.1	ELK1::HOXA1	Ets-related	gene_body	14236	14236		27487.8094268053
MA1957.1	HOXB2::ELK1	HOX	gene_body	15503	15503		26273.670902406
MA1962.1	POU2F1::SOX2	POU domain factors	gene_body	19325	19325		22508.68538163
MA1972.1	ZFP14	Factors with multiple dispersed zinc fingers	gene_body	20155	20155		21882.8842967006
MA1980.1	ZNF418	Factors with multiple dispersed zinc fingers	gene_body	19616	19616		22338.7884889886
MA1985.1	ZNF669	More than 3 adjacent zinc fingers	gene_body	17177	17177		24638.641031612
MA2117.1	FOXP4	FOX	gene_body	20500	20500		21614.4616097561
MA2118.1	FOXS1	FOX	gene_body	19342	19342		22606.4001137421
MA2119.1	HOXA3	HOX	gene_body	18847	18847		22979.0324189526
MA2120.1	ZNF184	More than 3 adjacent zinc fingers	gene_body	18709	18709		23133.2998022342
MA2121.1	ZNF213	More than 3 adjacent zinc fingers	gene_body	18271	18271		23564.7398609819
MA2122.1	Ebf4	EBF-related	gene_body	16304	16304		25549.2212953876
MA2123.1	Hand1	Tal-related	gene_body	17940	17940		23816.0033444816
MA2124.1	Hmga1	HMGA	gene_body	19488	19488		22426.2739634647
MA2125.1	Zfp809	More than 3 adjacent zinc fingers	gene_body	18043	18043		23732.3586432411
MA2126.1	Zfp961	More than 3 adjacent zinc fingers	gene_body	15526	15526		26316.5101764782
MA0079.5	SP1	Three-zinc finger Kruppel-related	gene_body	18467	18467		23440.4022851573
MA0509.3	RFX1	RFX-related factors	gene_body	14984	14984		26766.2138948211
MA0516.3	SP2	Three-zinc finger Kruppel-related	gene_body	17792	17792		24050.6347796763
MA0607.2	BHLHA15	Tal-related	gene_body	13947	13947		27750.6813651681
MA0685.2	SP4	Three-zinc finger Kruppel-related	gene_body	18808	18808		23113.9669289664
MA0740.2	KLF14	Three-zinc finger Kruppel-related	gene_body	18522	18522		23386.3837058633
MA0742.2	KLF12	Three-zinc finger Kruppel-related	gene_body	17500	17500		24319.3368
MA0798.3	RFX3	RFX-related factors	gene_body	15653	15653		26045.966523989
MA0818.2	BHLHE22	Tal-related	gene_body	14193	14193		27566.3429155217
MA0821.2	HES5	Hairy-related factors	gene_body	10133	10133		33331.6716668312
MA0831.3	TFE3	bHLH-ZIP	gene_body	12704	12704		29267.981029597
MA0878.3	CDX1	HOX	gene_body	18423	18423		23347.552353037
MA0884.2	DUXA	Paired-related HD factors	gene_body	13452	13452		28032.456363366
MA1511.2	KLF10	Three-zinc finger Kruppel-related	gene_body	18081	18081		23804.9230684144
MA1532.2	NR1D2	Thyroid hormone receptor-related factors (NR1)	gene_body	16472	16472		25335.9409300631
MA1547.2	PITX2	Paired-related HD factors	gene_body	12070	12070		29759.4896437448
MA1563.2	SOX18	SOX-related factors	gene_body	14765	14765		26677.1695902472
MA1573.2	Thap11	THAP-related factors	gene_body	17320	17320		24405.8141454965
MA1601.2	ZNF75D	More than 3 adjacent zinc fingers	gene_body	17550	17550		24181.5165242165
MA1633.2	BACH1	Jun-related	gene_body	15803	15803		25751.3145605265
MA2127.1	atf-2	CEBP-related	gene_body	13127	13127		28430.8497752723
MA2128.1	ceh-18	POU domain factors	gene_body	11927	11927		29681.3943154188
MA2129.1	ceh-23	NK	gene_body	21692	21692		20605.9910566107
MA2130.1	dmd-10	DMRT factors	gene_body	15763	15763		25784.2534416038
MA2131.1	egl-38	Paired domain only	gene_body	16602	16602		25099.9845199374
MA2132.1	egrh-1	Three-zinc finger Kruppel-related	gene_body	14379	14379		27669.2541901384
MA2133.1	elt-7	C4-GATA-related	gene_body	18611	18611		23188.8636827683
MA2134.1	end-3	C4-GATA-related	gene_body	22878	22878		19620.2479237696
MA2135.1	jun-1	Jun-related	gene_body	15367	15367		26219.4298171406
MA2136.1	klf-3	Three-zinc finger Kruppel-related	gene_body	17835	17835		23920.8265769554
MA2137.1	klu-1	More than 3 adjacent zinc fingers	gene_body	12397	12397		30190.0659030411
MA2138.1	klu-2	Three-zinc finger Kruppel-related	gene_body	13438	13438		28699.9176960857
MA2139.1	let-381	FOX	gene_body	19221	19221		22651.6413297955
MA2140.1	lin-31	FOX	gene_body	17329	17329		24369.1558658896
MA2141.1	lin-48	More than 3 adjacent zinc fingers	gene_body	13142	13142		28954.3141074418
MA2142.1	nhr-142	RXR-related receptors (NR2)	gene_body	16608	16608		25023.3253853565
MA2143.1	nhr-25	FTZF1related(NR5A)	gene_body	18091	18091		23679.3309380355
MA2144.1	nhr-5	RXR-related receptors (NR2)	gene_body	17489	17489		24232.2795471439
MA2145.1	nhr-70	RXR-related receptors (NR2)	gene_body	17581	17581		24178.2775154997
MA2146.1	nhr-86	Steroid hormone receptors (NR3)	gene_body	16506	16506		25133.0764570459
MA2147.1	nsy-7	Paired-related HD factors	gene_body	21130	21130		21089.8042593469
MA2148.1	odd-2	More than 3 adjacent zinc fingers	gene_body	15728	15728		25965.2812182096
MA2149.1	odr-7	RXR-related receptors (NR2)	gene_body	19335	19335		22618.8304111715
MA2150.1	pag-3	More than 3 adjacent zinc fingers	gene_body	24113	24113		18648.6414382283
MA2151.1	pax-2	Paired domain only	gene_body	12674	12674		29419.2207669244
MA2152.1	ref-1	Hairy-related factors	gene_body	13451	13451		28676.1524050257
MA2153.1	sex-1	Thyroid hormone receptor-related factors (NR1)	gene_body	17357	17357		24386.8144840698
MA2154.1	snai-1	More than 3 adjacent zinc fingers	gene_body	18260	18260		23536.3949616648
MA2155.1	sptf-3	Three-zinc finger Kruppel-related	gene_body	13640	13640		28335.7320381232
MA2156.1	xbp-1	XBP-1-related factors	gene_body	13842	13842		28008.4155468863
MA2157.1	atfs-1	ATF-4-related	gene_body	18260	18260		23454.0844468784
MA2158.1	ceh-14	HD-LIM	gene_body	15027	15027		26268.9318559925
MA2159.1	ceh-36	Paired-related HD factors	gene_body	21189	21189		21013.2755203172
MA2160.1	ceh-39	HD-CUT	gene_body	12826	12826		28938.6341805707
MA2161.1	ceh-43	NK	gene_body	20705	20705		21413.1920309104
MA2162.1	ceh-60	TALE-type homeo domain factors	gene_body	17130	17130		24510.7456509049
MA2163.1	cnd-1	Tal-related	gene_body	18124	18124		23667.6769476937
MA2164.1	egl-27	C4-GATA-related	gene_body	16828	16828		24742.6470763014
MA2165.1	elt-1	C4-GATA-related	gene_body	14859	14859		26782.9329026179
MA2166.1	ets-7	Ets-related	gene_body	15658	15658		26120.4275130924
MA2167.1	fkh-3	FOX	gene_body	17622	17622		23963.8180115764
MA2168.1	hif-1	PAS domain factors	gene_body	12058	12058		30315.3263393598
MA2169.1	hsf-1	HSF factors	gene_body	16002	16002		25546.7817772778
MA2170.1	lin-32	Tal-related	gene_body	18542	18542		23340.4516772732
MA2171.1	lsl-1	More than 3 adjacent zinc fingers	gene_body	16003	16003		25648.5615197151
MA2172.1	mdl-1	bHLH-ZIP	gene_body	16893	16893		24862.5449594507
MA2173.1	mef-2	Regulators of differentiation	gene_body	21045	21045		21117.0662865289
MA2174.1	mls-2	NK	gene_body	5787	5787		40235.9694142043
MA2175.1	mxl-1	bHLH-ZIP	gene_body	11908	11908		30580.9350856567
MA2176.1	mxl-3	bHLH-ZIP	gene_body	11909	11909		30589.8095557981
MA2177.1	nfya-1	Heteromeric CCAAT-binding	gene_body	17921	17921		23849.710116623
MA2178.1	sta-1	STAT factors	gene_body	17270	17270		24385.3508975101
MA2179.1	ceh-10	Paired-related HD factors	gene_body	19107	19107		22658.6572983723
MA2180.1	F10B5.3	Three-zinc finger Kruppel-related	gene_body	18343	18343		23428.941285504
MA2181.1	lsy-2	More than 3 adjacent zinc fingers	gene_body	16192	16192		25343.728569664
MA2182.1	nfi-1	Nuclear factor 1	gene_body	14335	14335		27407.1361004534
MA2183.1	nhr-33	RXR-related receptors (NR2)	gene_body	16955	16955		24596.5520495429
MA2184.1	sox-3	SOX-related factors	gene_body	18849	18849		22907.0882805454
MA2185.1	tbx-37	TBX6-related factors	gene_body	19013	19013		22869.8539946353
MA2186.1	tbx-38	TBX6-related factors	gene_body	18889	18889		22976.1117581661
MA2187.1	ztf-6	Factors with multiple dispersed zinc fingers	gene_body	19132	19132		22734.583838595
MA2188.1	acj6	POU domain factors	gene_body	13738	13738		27866.6616683651
MA2189.1	Adf1	More than 3 adjacent zinc fingers	gene_body	11526	11526		31045.960610793
MA2190.1	Aef1	More than 3 adjacent zinc fingers	gene_body	19917	19917		22017.0659235829
MA2191.1	amos	Tal-related	gene_body	17328	17328		24400.7255309326
MA2192.1	Atf-2	Jun-related	gene_body	15137	15137		26583.2596287243
MA2193.1	Atf3	Fos-related	gene_body	14901	14901		26878.8555130528
MA2194.1	Atf6	Jun-related	gene_body	14521	14521		27328.2573514221
MA2195.1	ato	Tal-related	gene_body	17745	17745		24034.4148774303
MA2196.1	bigmax	bHLH-ZIP	gene_body	13546	13546		28389.5793592204
MA2197.1	bin	FOX	gene_body	21577	21577		20675.1359781249
MA2198.1	Blimp-1	More than 3 adjacent zinc fingers	gene_body	17703	17703		24055.2497881715
MA2199.1	bowl	More than 3 adjacent zinc fingers	gene_body	16359	16359		25265.0748823278
MA2200.1	bs	Responders to external signals (SRF/RLM1)	gene_body	14287	14287		27534.5576398124
MA2201.1	Bteb2	Three-zinc finger Kruppel-related	gene_body	14146	14146		27749.671497243
MA2202.1	byn	Brachyury-related factors	gene_body	17003	17003		24742.3562900665
MA2203.1	CG12605	More than 3 adjacent zinc fingers	gene_body	17775	17775		24013.8398874824
MA2204.1	CG4360	More than 3 adjacent zinc fingers	gene_body	21349	21349		20881.6377347885
MA2205.1	CG7928	More than 3 adjacent zinc fingers	gene_body	17408	17408		24436.716394761
MA2206.1	CHES-1-like	FOX	gene_body	20167	20167		21856.5518421183
MA2207.1	ci	More than 3 adjacent zinc fingers	gene_body	19668	19668		22307.2094773236
MA2208.1	crc	ATF-4-related factors	gene_body	15237	15237		26320.8417011223
MA2209.1	CrebA	CREB-related factors	gene_body	11472	11472		31111.8152022315
MA2210.1	CrebB	CREB-related factors	gene_body	11161	11161		31330.0069886211
MA2211.1	croc	FOX	gene_body	18962	18962		22882.1194494252
MA2212.1	dar1	Three-zinc finger Kruppel-related	gene_body	17292	17292		24535.2091718714
MA2213.1	Dif	NF-kappaB-related factors	gene_body	11933	11933		30086.538422861
MA2214.1	dimm	Tal-related	gene_body	13600	13600		28083.8791911765
MA2215.1	dm	bHLH-ZIP	gene_body	13431	13431		28539.8890626163
MA2216.1	Doc2	TBX6-related factors	gene_body	15877	15877		25866.1650815645
MA2217.1	dpn	Hairy-related factors	gene_body	13955	13955		27821.1534933716
MA2218.1	dsf	RXR-related receptors (NR2)	gene_body	18926	18926		22910.315650428
MA2219.1	E(spl)m3-HLH	Hairy-related factors	gene_body	14057	14057		27948.8698868891
MA2220.1	E(spl)mbeta-HLH	Hairy-related factors	gene_body	11420	11420		31271.942732049
MA2221.1	E(spl)mdelta-HLH	Hairy-related factors	gene_body	12988	12988		29036.3912072682
MA2222.1	E(spl)mgamma-HLH	Hairy-related factors	gene_body	12042	12042		30387.23700382
MA2223.1	EcR	Thyroid hormone receptor-related factors (NR1)	gene_body	16430	16430		25195.1500304321
MA2224.1	Eip75B	Thyroid hormone receptor-related factors (NR1)	gene_body	17221	17221		24620.4957900238
MA2225.1	erm	More than 3 adjacent zinc fingers	gene_body	18885	18885		22941.3018268467
MA2226.1	ERR	Steroid hormone receptors (NR3)	gene_body	17246	17246		24478.9238084193
MA2227.1	esg	More than 3 adjacent zinc fingers	gene_body	18361	18361		23440.8665650019
MA2228.1	Ets65A	Ets-related	gene_body	14110	14110		27696.2828490432
MA2229.1	Ets96B	Ets-related	gene_body	14200	14200		27618.9902816901
MA2230.1	Ets97D	Ets-related	gene_body	15602	15602		26171.6555569799
MA2231.1	Ets98B	Ets-related	gene_body	11585	11585		31040.3945619335
MA2232.1	fd59A	FOX	gene_body	20714	20714		21407.228058318
MA2233.1	Fer1	Tal-related	gene_body	17337	17337		24388.8127126954
MA2234.1	Fer2	Tal-related	gene_body	18014	18014		23785.0008326857
MA2235.1	FoxL1	FOX	gene_body	17992	17992		23663.3892841263
MA2236.1	foxo	FOX	gene_body	18417	18417		23348.33898029
MA2237.1	FoxP	FOX	gene_body	20085	20085		21913.9525516555
MA2238.1	GATAe	C4-GATA-related	gene_body	12417	12417		29849.5203350246
MA2239.1	gsb	Paired plus homeo domain	gene_body	14933	14933		26639.3023504989
MA2240.1	Hey	Hairy-related factors	gene_body	16893	16893		24862.5449594507
MA2241.1	HLH4C	Tal-related	gene_body	16470	16470		25209.7228901032
MA2242.1	Hnf4	RXR-related receptors (NR2)	gene_body	17838	17838		23961.1026460366
MA2243.1	Hr38	NGFI-B-related receptors (NR4)	gene_body	18986	18986		22917.9596544823
MA2244.1	Hr39	GCNF-related receptors (NR6)	gene_body	17372	17372		24348.6249712181
MA2245.1	Hr78	RXR-related receptors (NR2)	gene_body	17455	17455		24326.0563735319
MA2246.1	Jra	Jun-related	gene_body	14321	14321		27352.7675441659
MA2247.1	Kah	More than 3 adjacent zinc fingers	gene_body	18127	18127		23717.7844651625
MA2248.1	kay	Fos-related	gene_body	12958	12958		28690.4492977311
MA2249.1	ken	Other factors with up to three adjacent zinc fingers	gene_body	17974	17974		23781.0467898075
MA2250.1	klu	More than 3 adjacent zinc fingers	gene_body	17623	17623		24244.2700448278
MA2251.1	knrl	Thyroid hormone receptor-related factors (NR1)	gene_body	16687	16687		25023.7789297058
MA2252.1	lmd	More than 3 adjacent zinc fingers	gene_body	17718	17718		24194.2720397336
MA2253.1	luna	Three-zinc finger Kruppel-related	gene_body	17675	17675		24127.2539745403
MA2254.1	lz	Runt-related factors	gene_body	17902	17902		23885.9588872752
MA2255.1	Max	bHLH-ZIP	gene_body	13431	13431		28539.8890626163
MA2256.1	mid	TBX1-related factors	gene_body	15708	15708		26052.8841991342
MA2257.1	Mitf	bHLH-ZIP	gene_body	15019	15019		26342.2791131234
MA2258.1	Mnt	bHLH-ZIP	gene_body	13565	13565		28422.6085514191
MA2259.1	org-1	TBX1-related factors	gene_body	15867	15867		25775.0327724208
MA2260.1	pdm3	POU domain factors	gene_body	13864	13864		27657.175778996
MA2261.1	phol	More than 3 adjacent zinc fingers	gene_body	18611	18611		23261.9597549836
MA2262.1	pnt	Ets-related	gene_body	16599	16599		25182.0805470209
MA2263.1	Poxm	Paired domain only	gene_body	15456	15456		26249.225931677
MA2264.1	Rel	NF-kappaB-related factors	gene_body	14732	14732		27064.5086206897
MA2265.1	retn	ARID-related	gene_body	21772	21772		20527.1481260334
MA2266.1	Rfx	RFX-related factors	gene_body	14705	14705		26944.7140428426
MA2267.1	rib	Other factors with up to three adjacent zinc fingers	gene_body	18644	18644		23191.5123364085
MA2268.1	sage	TALE-type homeo domain factors	gene_body	19210	19210		22714.5156689224
MA2269.1	sc	MyoD/ASC-related factors	gene_body	17175	17175		24573.7350218341
MA2270.1	scrt	More than 3 adjacent zinc fingers	gene_body	18740	18740		23091.4279082177
MA2271.1	sens	More than 3 adjacent zinc fingers	gene_body	18193	18193		23589.188643984
MA2272.1	slp2	FOX	gene_body	17796	17796		23864.947403911
MA2273.1	Sox102F	SOX-related factors	gene_body	15257	15257		26601.058858229
MA2274.1	Sox14	SOX-related factors	gene_body	19175	19175		22708.1375228162
MA2275.1	Sox15	SOX-related factors	gene_body	18314	18314		23365.3503876816
MA2276.1	Sox21a	SOX-related factors	gene_body	18272	18272		23539.3503721541
MA2277.1	Sox21b	SOX-related factors	gene_body	18786	18786		23070.0252315554
MA2278.1	SoxN	SOX-related factors	gene_body	17948	17948		23852.1099286829
MA2279.1	Sp1	Three-zinc finger Kruppel-related	gene_body	14665	14665		27243.2519604501
MA2280.1	Spps	Three-zinc finger Kruppel-related	gene_body	16323	16323		25426.0895056056
MA2281.1	SREBP	bHLH-ZIP	gene_body	12929	12929		29179.5302034187
MA2282.1	SREBP	bHLH-ZIP	gene_body	16275	16275		25542.63453149
MA2283.1	srp	C4-GATA-related	gene_body	17072	17072		24659.2970946579
MA2284.1	ss	PAS domain factors	gene_body	16762	16762		25023.1543371913
MA2285.1	sug	More than 3 adjacent zinc fingers	gene_body	16978	16978		24871.7691129697
MA2286.1	svp	RXR-related receptors (NR2)	gene_body	17741	17741		24029.6205963587
MA2287.1	TfAP-2	AP-2	gene_body	11637	11637		31161.3475122454
MA2288.1	tj	Maf-related	gene_body	17724	17724		23981.7120288874
MA2289.1	toy	Paired plus homeo domain	gene_body	15822	15822		25871.6555429149
MA2290.1	Usf	bHLH-ZIP	gene_body	16386	16386		25328.1683144147
MA2291.1	vri	CEBP-related	gene_body	15316	15316		26189.9238704623
MA2292.1	wor	More than 3 adjacent zinc fingers	gene_body	17332	17332		24469.3561620125
MA2293.1	Xbp1	XBP-1-related factors	gene_body	13568	13568		28346.4706662736
MA2294.1	Xrp1	""	gene_body	14691	14691		26728.1370907358
MA2295.1	ac	MyoD/ASC-related factors	gene_body	16850	16850		24834.9908605341
MA2296.1	aop	Ets-related	gene_body	13717	13717		27948.7570168404
MA2297.1	BtbVII	More than 3 adjacent zinc fingers	gene_body	19726	19726		22218.9977187468
MA2298.1	CG3065	Three-zinc finger Kruppel-related	gene_body	16697	16697		25085.4841588309
MA2299.1	CG4854	More than 3 adjacent zinc fingers	gene_body	17637	17637		24092.5505471452
MA2300.1	CG8319	More than 3 adjacent zinc fingers	gene_body	17441	17441		24391.3397167594
MA2301.1	clk	PAS domain factors	gene_body	9486	9486		34028.3594771242
MA2302.1	Crg-1	FOX	gene_body	19916	19916		22031.4071600723
MA2303.1	crp	bHLH-ZIP	gene_body	15750	15750		25850.7271746032
MA2304.1	cwo	Hairy-related factors	gene_body	9547	9547		34487.0984602493
MA2305.1	cyc	PAS domain factors	gene_body	11576	11576		30991.9248445059
MA2306.1	D1	HMGA	gene_body	19829	19829		22096.0038832014
MA2307.1	D19B	More than 3 adjacent zinc fingers	gene_body	14701	14701		26930.9526562819
MA2308.1	da	E2A	gene_body	20927	20927		21235.5129258852
MA2309.1	ewg	Jun-related	gene_body	10364	10364		33093.5429370899
MA2310.1	fru	Factors with multiple dispersed zinc fingers	gene_body	16076	16076		25369.8603508335
MA2311.1	ftz-f1	FTZF1related(NR5A)	gene_body	15071	15071		26489.2500829408
MA2312.1	grn	C4-GATA-related	gene_body	18661	18661		23257.3736134184
MA2313.1	hng1	More than 3 adjacent zinc fingers	gene_body	6345	6345		40355.0540583136
MA2314.1	hr3	Thyroid hormone receptor-related factors (NR1)	gene_body	17546	17546		24202.4435198906
MA2315.1	insv	""	gene_body	11845	11845		30227.6043056142
MA2316.1	l(3)neo38	Three-zinc finger Kruppel-related	gene_body	17044	17044		24832.1685050458
MA2317.1	nau	MyoD/ASC-related factors	gene_body	20927	20927		21235.5129258852
MA2318.1	pita	More than 3 adjacent zinc fingers	gene_body	16914	16914		24885.6795553979
MA2319.1	run	Runt-related factors	gene_body	14111	14111		27777.8181560485
MA2320.1	Sox100B	SOX-related factors	gene_body	10858	10858		30889.2593479462
MA2321.1	tx	Tal-related	gene_body	20927	20927		21235.5129258852
MA2322.1	ZIPIC	More than 3 adjacent zinc fingers	gene_body	18725	18725		23151.6319359146
MA2323.1	Pgr	Steroid hormone receptors (NR3)	gene_body	17671	17671		24004.7624922189
MA2324.1	BCL11A	Factors with multiple dispersed zinc fingers	gene_body	19095	19095		22863.7070437287
MA2325.1	EPAS1	PAS domain factors	gene_body	11342	11342		31318.944366073
MA2326.1	IKZF2	Factors with multiple dispersed zinc fingers	gene_body	22755	22755		19700.8838497034
MA2327.1	PGR	Steroid hormone receptors (NR3)	gene_body	16509	16509		24999.909503907
MA2328.1	ZBED4	BED zinc finger factors	gene_body	13243	13243		29028.1611417353
MA2329.1	ZBTB11	More than 3 adjacent zinc fingers	gene_body	15937	15937		25845.7222814833
MA2330.1	ZBTB24	More than 3 adjacent zinc fingers	gene_body	17535	17535		24276.8585115483
MA2331.1	ZNF157	More than 3 adjacent zinc fingers	gene_body	17668	17668		24070.9624745302
MA2332.1	ZNF175	More than 3 adjacent zinc fingers	gene_body	18823	18823		23072.0513733199
MA2333.1	ZNF35	More than 3 adjacent zinc fingers	gene_body	18957	18957		22899.0090204146
MA2334.1	ZNF547	More than 3 adjacent zinc fingers	gene_body	17352	17352		24398.7907445828
MA2335.1	ZNF558	More than 3 adjacent zinc fingers	gene_body	21176	21176		21023.1395919909
MA2336.1	ZSCAN21	More than 3 adjacent zinc fingers	gene_body	18522	18522		23276.4304610733
MA2337.1	Nr1h3	Thyroid hormone receptor-related factors (NR1)	gene_body	21996	21996		20345.5602836879
MA2338.1	Ppara	Thyroid hormone receptor-related factors (NR1)	gene_body	17741	17741		24029.6205963587
MA2339.1	Nanog	NK	gene_body	18258	18258		23552.1715412422
MA2340.1	Zbtb2	Factors with multiple dispersed zinc fingers	gene_body	15613	15613		26213.9710497662
MA2341.1	FEZF2	More than 3 adjacent zinc fingers	gene_body	17900	17900		23902.4126256983
MA0529.3	BEAF-32	Zinc finger, BED-type	gene_body	3664	3664		47432.2906659389
MA0010.2	br	Other factors with up to three adjacent zinc fingers	gene_body	20809	20809		21345.2519582873
MA0011.2	br	Other factors with up to three adjacent zinc fingers	gene_body	22791	22791		19696.8774077487
MA0012.2	br	Other factors with up to three adjacent zinc fingers	gene_body	15887	15887		25690.2965947001
MA0443.2	btd	Other factors with up to three adjacent zinc fingers	gene_body	15605	15605		26161.9622556873
MA0015.2	Cf2	Factors with multiple dispersed zinc fingers	gene_body	17406	17406		24165.0166609215
MA0184.2	CG9876	Paired-related HD factors	gene_body	21692	21692		20605.9910566107
MA0530.2	cnc::maf-S	Jun-related	gene_body	17108	17108		24648.2755436053
MA0531.2	CTCF	More than 3 adjacent zinc fingers	gene_body	16643	16643		25096.1783332332
MA0185.2	Deaf1	DEAF	gene_body	23392	23392		19201.8156634747
MA1455.2	dmrt99B	DMRT factors	gene_body	17515	17515		24067.9123608336
MA1456.2	Dref	BED zinc finger factors	gene_body	4640	4640		43404.3950431034
MA1836.2	dsx	DMRT factors	gene_body	20730	20730		21384.022961891
MA0915.2	dve	HD-CUT	gene_body	21189	21189		21013.2755203172
MA0189.2	E5	NK	gene_body	21692	21692		20605.9910566107
MA1837.2	Elba1	""	gene_body	17584	17584		24177.9170268426
MA1838.2	Elba2	""	gene_body	17584	17584		24177.9170268426
MA0222.2	exd	TALE-type homeo domain factors	gene_body	20600	20600		21496.0623786408
MA1839.2	GATAd	C4-GATA-related	gene_body	18661	18661		23257.3736134184
MA1840.2	gcm	GCM	gene_body	11308	11308		31247.3480721613
MA1457.2	grh	Grainyhead-related factors	gene_body	16858	16858		24713.701447384
MA1458.2	Hsf	HSF factors	gene_body	15881	15881		25665.3791322965
MA1841.2	kn	EBF-related	gene_body	16449	16449		25296.0578758587
